[2025-05-16 15:26:53] Iniciando Downloader...
[2025-05-16 15:26:53] Conectado ao Gateway
[2025-05-16 15:26:53] Conectado ao Index 1 (Local)
[2025-05-16 15:26:53] Conectado ao Index 2 (Externo)
[2025-05-16 15:27:11] Processing: https://www.uc.pt
[2025-05-16 15:27:13] Processing: https://www.uc.pt/protecao-de-dados-e-informacao-administrativa/politica-de-cookies/
[2025-05-16 15:27:14] Processing: https://www.uc.pt/sobrenos
[2025-05-16 15:27:15] Processing: https://www.uc.pt/governo
[2025-05-16 15:27:16] Processing: https://www.uc.pt/uecafs
[2025-05-16 15:27:18] Processing: https://www.uc.pt/organicas
[2025-05-16 15:27:19] Processing: http://worldheritage.uc.pt/pt
[2025-05-16 15:27:19] Processing: https://www.uc.pt/organizacional
[2025-05-16 15:27:20] Processing: https://apps.uc.pt/courses/pt/index?designacao=&uno_sigla=&cic_tipo=PRIMEIRO&submitform=Pesquisar#courses_list
[2025-05-16 15:27:20] Processing: https://apps.uc.pt/courses/pt/index?designacao=&uno_sigla=&cic_tipo=PRIMEIRO_SEGUNDO&submitform=Pesquisar#courses_list
[2025-05-16 15:27:22] Processing: https://apps.uc.pt/courses/pt/index?designacao=&uno_sigla=&cic_tipo=SEGUNDO_CONTINUIDADE&cic_tipo=SEGUNDO_ESPECIALIZACAO_AVANCADA&cic_tipo=SEGUNDO_FORMACAO_LONGO_VIDA&submitform=Pesquisar#courses_list
[2025-05-16 15:27:22] Processing: https://apps.uc.pt/courses/pt/index?designacao=&uno_sigla=&cic_tipo=TERCEIRO&submitform=Pesquisar#courses_list
[2025-05-16 15:27:23] Processing: http://www.ed.uc.pt/educ/
[2025-05-16 15:27:26] Processing: https://apps.uc.pt/courses/pt/index?designacao=&uno_sigla=&cic_tipo=NAO_CONFERENTE_GRAU&submitform=Pesquisar#courses_list
[2025-05-16 15:27:27] Processing: http://www.uc.pt/anozero/
[2025-05-16 15:27:28] Processing: http://www.uc.pt/go/lusofonia
[2025-05-16 15:27:32] Processing: https://www.uc.pt/iii/research_centers/centros_investigacao
[2025-05-16 15:27:33] Processing: https://www.uc.pt/iii
[2025-05-16 15:27:34] Processing: http://agenda.uc.pt/#1499291250453-6f7110a3-74a5
[2025-05-16 15:27:35] Failed to download: http://agenda.uc.pt/#1499291250453-6f7110a3-74a5
[2025-05-16 15:27:35] Processing: https://www.uc.pt/administracao/dpa/investigacao
[2025-05-16 15:27:36] Processing: http://digitalis.uc.pt
[2025-05-16 15:27:37] Processing: https://estudogeral.uc.pt/
[2025-05-16 15:27:41] Processing: https://www.uc.pt/imprensa_uc
[2025-05-16 15:27:42] Processing: http://www.cd25a.uc.pt/
[2025-05-16 15:27:42] Processing: https://www.uc.pt/efs
[2025-05-16 15:27:43] Processing: http://www.uc.pt/ucbusiness
[2025-05-16 15:27:45] Processing: https://www.ipn.pt/
[2025-05-16 15:27:46] Processing: https://www.biocant.pt/
[2025-05-16 15:27:46] Processing: https://www.uc.pt/internacional
[2025-05-16 15:27:47] Processing: https://www.uc.pt/estudarnauc/estudantes-internacionais/
[2025-05-16 15:27:48] Processing: https://www.uc.pt/internacional/erasmus
[2025-05-16 15:27:48] Processing: https://www.uc.pt/internacional/servicos
[2025-05-16 15:27:49] Processing: http://agenda.uc.pt
[2025-05-16 15:27:49] Failed to download: http://agenda.uc.pt
[2025-05-16 15:27:49] Processing: https://www.uc.pt/gduc
[2025-05-16 15:27:51] Processing: https://desporto.uc.pt/
[2025-05-16 15:27:51] Processing: http://www.tagv.pt
[2025-05-16 15:27:52] Processing: https://www.uc.pt/rualarga
[2025-05-16 15:27:54] Processing: https://www.uc.pt/sibuc
[2025-05-16 15:27:56] Processing: https://www.uc.pt/semanacultural
[2025-05-16 15:27:58] Processing: http://anozero-bienaldecoimbra.pt/
[2025-05-16 15:28:00] Processing: http://www.academica.pt/
[2025-05-16 15:28:02] Processing: http://worldheritage.uc.pt/pt/
[2025-05-16 15:28:03] Processing: https://www.uc.pt/turismo
[2025-05-16 15:28:05] Processing: http://www.museudaciencia.org
[2025-05-16 15:28:05] Processing: https://www.uc.pt/jardimbotanico
[2025-05-16 15:28:07] Processing: https://www.uc.pt/auc/instituicao/historia
[2025-05-16 15:28:08] Failed to download: https://www.uc.pt/auc/instituicao/historia
[2025-05-16 15:28:08] Processing: http://www.uc.pt/saomarcos
[2025-05-16 15:28:09] Processing: https://www.uc.pt/candidatos-internacionais/estudar-viver-coimbra/cidade
[2025-05-16 15:28:10] Processing: https://www.uc.pt/sasuc
[2025-05-16 15:28:12] Processing: https://www.uc.pt/estudantes/lazer
[2025-05-16 15:28:12] Failed to download: https://www.uc.pt/estudantes/lazer
[2025-05-16 15:28:12] Processing: http://www.uc.pt/candidatos-internacionais/estudar-viver-coimbra/custos
[2025-05-16 15:28:13] Processing: http://www.smtuc.pt
[2025-05-16 15:28:14] Processing: https://www.uc.pt/
[2025-05-16 15:28:15] Processing: https://www.uc.pt/en/
[2025-05-16 15:28:15] Processing: https://www.uc.pt
[2025-05-16 15:28:16] Processing: https://apps.uc.pt/
[2025-05-16 15:28:16] Processing: https://escolheauc.uc.pt/
[2025-05-16 15:28:18] Processing: https://www.uc.pt/studenthub/
[2025-05-16 15:28:19] Processing: https://www.uc.pt/alumni/
[2025-05-16 15:28:21] Processing: https://www.uc.pt/estudarnauc/escolas/
[2025-05-16 15:28:22] Processing: https://www.uc.pt/ucbusiness
[2025-05-16 15:28:23] Processing: https://escolheauc.uc.pt/semana-aberta/
[2025-05-16 15:28:25] Processing: https://www.uc.pt/uv/
[2025-05-16 15:28:26] Processing: http://www.uc.pt/lacuc
[2025-05-16 15:28:29] Processing: https://noticias.uc.pt/artigos/rating-qs-stars-atribui-5-estrelas-a-universidade-de-coimbra-em-oito-categorias/
[2025-05-16 15:28:30] Processing: https://noticias.uc.pt/artigos/universidade-de-coimbra-e-a-mais-reputada-em-portugal/
[2025-05-16 15:28:31] Processing: https://noticias.uc.pt/artigos/universidade-de-coimbra-e-a-instituicao-mais-sustentavel-em-portugal-e-a-57-do-mundo/
[2025-05-16 15:28:33] Processing: https://www.uc.pt/lfa/
[2025-05-16 15:28:33] Processing: https://www.uc.pt/research
[2025-05-16 15:28:34] Processing: https://visit.uc.pt/pt
[2025-05-16 15:28:36] Processing: https://www.uc.pt/patrimonio
[2025-05-16 15:28:37] Processing: https://www.uc.pt/candidaturas
[2025-05-16 15:28:37] Processing: https://www.uc.pt/empregabilidade
[2025-05-16 15:28:39] Processing: https://www.uc.pt/en/driic
[2025-05-16 15:28:40] Processing: https://www.uc.pt/noticias/
[2025-05-16 15:28:41] Processing: http://www.uc.pt/noticias/artigos/projeto-ongoing-lectures-esta-de-volta-ao-colegio-das-artes/
[2025-05-16 15:28:42] Processing: http://www.uc.pt/noticias/artigos/mimesis-foto-concerto-som-na-pedreira-de-anca/
[2025-05-16 15:28:43] Processing: https://www.uc.pt/noticias/artigos/uc-assinala-aniversario-da-metrologia-com-aula-aberta/
[2025-05-16 15:28:44] Processing: http://www.uc.pt/noticias/artigos/mimesis-gesto-politico-a-um-dia-de-eleicoes/
[2025-05-16 15:28:46] Processing: https://estudarnauc.uc.pt/
[2025-05-16 15:28:47] Processing: https://www.uc.pt/sustentabilidade
[2025-05-16 15:28:52] Processing: https://www.uc.pt/ucbusiness/
[2025-05-16 15:28:52] Processing: https://www.uc.pt/academicos
[2025-05-16 15:28:53] Processing: https://www.uc.pt/dados/
[2025-05-16 15:28:55] Processing: https://www.uc.pt/openscience
[2025-05-16 15:28:57] Processing: https://www.uc.pt/cultura
[2025-05-16 15:28:59] Processing: https://www.uc.pt/desporto/
[2025-05-16 15:28:59] Processing: http://www.uc.pt/cucff/
[2025-05-16 15:29:00] Processing: https://www.uc.pt/fluc
[2025-05-16 15:29:01] Processing: https://www.uc.pt/fduc
[2025-05-16 15:29:01] Processing: https://www.uc.pt/fmuc
[2025-05-16 15:29:03] Processing: https://www.uc.pt/fctuc
[2025-05-16 15:29:03] Fechando Downloader...
